통계표,계정항목,단위,가중치,변환,2022/01,2022/02,2022/03,2022/04,2022/05,2022/06,2022/07,2022/08,2022/09,2022/10,2022/11,2022/12,2023/01,2023/02,2023/03,2023/04,2023/05,2023/06,2023/07,2023/08,2023/09,2023/10,2023/11,2023/12,2024/01,2024/02,2024/03,2024/04,2024/05,2024/06,2024/07,2024/08,2024/09,2024/10,2024/11,2024/12,2025/01,2025/02,2025/03,2025/04,2025/05,2025/06,2025/07,2025/08,2025/09,2025/10,2025/11,2025/12
"4.2.1. 소비자물가지수","        대형승용차","2020=100","3.2","원자료","102.43","102.43","102.43","102.43","105.14","105.14","105.14","105.14","105.14","105.14","107.72","107.72","107.72","107.72","107.72","107.72","107.72","107.72","108.47","108.47","108.47","108.62","108.62","108.62","109.2","109.2","109.2","109.2","109.2","109.5","109.5","111.93","111.93","111.93","111.69","111.8","110.17","110.17","110.17","109.15","108.63","109.58","109.06","110.6","110.6","110.6","110.09","110.39"
"4.2.1. 소비자물가지수","        경승용차","2020=100","0.6","원자료","102.06","102.06","102.06","102.06","102.06","102.06","102.06","102.06","102.06","102.06","102.06","102.06","102.06","101.42","101.42","101.42","100.35","100.35","103.32","103.32","103.32","103.32","103.32","103.32","103.32","103.32","103.32","103.32","103.32","104.08","104.08","104.08","104.08","104.08","105.55","105.55","105.55","105.55","105.55","105.55","105.55","106.07","106.71","106.71","106.71","106.71","106.71","106.71"
"4.2.1. 소비자물가지수","        다목적승용차","2020=100","7.7","원자료","105.59","105.59","105.59","105.59","105.59","105.59","106.82","107.06","107.36","107.52","107.52","107.52","107.74","107.74","107.74","107.74","107.7","107.53","108.4","109.35","109.84","109.84","109.84","109.9","109.9","109.9","109.9","109.9","109.9","109.9","109.75","109.75","110.77","110.77","112.24","112.3","110.79","110.79","110.79","110.79","110.79","110.79","111.09","111.37","111.56","111.56","111.56","111.56"
"4.2.1. 소비자물가지수","        수입승용차","2020=100","9.3","원자료","105.18","105.48","105.48","104.24","104.62","106.09","106.17","106.17","106.17","110.1","109.81","106.85","106.42","102.48","102.08","103.67","103.7","102.3","103.7","102.84","100.88","108.7","105.72","103.53","105.08","111.14","110.31","111.72","111.52","111.08","109.36","108.08","108.13","105.88","108.69","105.16","105.17","105.6","105.95","105.22","105.62","104.87","107.85","107.3","107.34","111.25","110.1","106.26"
"4.2.1. 소비자물가지수","        전기동력차","2020=100","5.1","원자료","100.6","100.6","100.6","100.6","102.12","102.12","102.12","102.47","102.47","102.47","102.47","102.47","102.47","103.06","103.06","103.06","103.06","103.06","103.61","103.61","103.61","103.61","103.36","103.75","103.8","103.8","104.36","104.34","104.17","104.4","104.1","104.48","104.51","104.2","104.39","104.42","104.15","104.69","104.69","103.4","103.08","104.33","103.27","104.57","104.59","104.59","103.95","104.33"
"4.2.1. 소비자물가지수","        자전거","2020=100","0.5","원자료","117.54","120.96","122.63","123.43","123.75","124.08","124.03","124.06","124.16","124.12","124.2","124.27","126.84","130.97","132.21","132.48","132.61","132.56","132.62","132.69","132.62","132.34","132.25","132.09","132.22","132.31","132.4","132.52","132.43","132.5","132.52","132.31","132.34","132.34","132.18","132.15","132.15","133.2","134.16","134.55","134.55","134.66","134.77","134.72","134.71","134.65","134.62","134.58"
"4.2.1. 소비자물가지수","    개인운송장비 운영","2020=100","60.3","원자료","115.3","118.99","130.55","134.52","135.16","142.17","141.79","129.52","126.37","124.91","125.18","120.82","119.03","117.63","116.73","118.52","118.03","114.51","114","120.34","123.33","124.72","120.76","116.85","114.32","116.53","117.67","119.39","120.79","117.26","121.47","121.37","117.21","115.02","116.71","118.3","121.06","122.22","121.03","119.3","118.65","118.34","120.69","120.8","119.28","120.76","122.62","124.38"
"4.2.1. 소비자물가지수","      개인운송장비 연료 및 윤활유","2020=100","43.2","원자료","120.34","125.9","143.52","148.89","149.28","157.56","156.77","139.82","135.84","132.28","132.69","127.07","123.34","121.88","120.49","122.49","120.75","115.73","115.1","125.39","130.54","132.04","126.82","120.49","117.32","120.48","122.4","124.48","124.96","121.07","125.33","125.25","119.78","116.93","120.02","122.06","126.63","128.62","126.06","122.33","121.92","121.5","124.18","123.86","122.97","123.13","127.77","130.15"
"4.2.1. 소비자물가지수","        휘발유","2020=100","24.1","원자료","117.52","123.23","138.99","142.49","141.17","149.4","147.42","129.14","124.76","119.58","118.49","113.03","112.49","113.8","114.69","118.23","117.86","113.87","113.82","123.23","127.13","127.84","121.3","115.37","112.63","116.11","118.16","121.03","122.37","118.8","122.83","122.39","116.9","114.23","117.18","118.68","123.03","124.51","121.9","118.11","117.57","117.39","120.27","119.91","119.28","119.4","123.39","125.41"
"4.2.1. 소비자물가지수","        경유","2020=100","16.3","원자료","121.24","128.09","151.41","159.05","163.22","173.12","175.11","157.59","154.5","153.18","156.73","150.03","140.09","134.19","128.66","128.42","123.96","116.87","116.53","131.01","138.68","141.12","136.11","127.89","123.38","126.57","128.65","129.74","128.79","123.65","128.82","128.54","122.07","118.36","121.92","124.62","130.37","133.26","130.31","126.04","125.41","124.88","128.17","128.29","127.69","128.03","134.64","138.09"
